ELEMENTNUMBER,EMSNAME,DUID
1,SUBSTN.LYPA.GEN.A1GEN,LYA1
2,SUBSTN.LYPA.GEN.A2GEN,LYA2
3,SUBSTN.LYPA.GEN.A3GEN,LYA3
4,SUBSTN.LYPA.GEN.A4GEN,LYA4
5,SUBSTN.LYPB.GEN.B1GEN,LOYYB1
6,SUBSTN.LYPB.GEN.B2GEN,LOYYB2
7,SUBSTN.YPS.GEN.W1GEN,YWPS1
8,SUBSTN.YPS.GEN.W2GEN,YWPS2
9,SUBSTN.YPS.GEN.W3GEN,YWPS3
10,SUBSTN.YPS.GEN.W4GEN,YWPS4
11,SUBSTN.NPSD.GEN.GEN,NPS
24,SUBSTN.JLGSA.GEN.A1GEN,JLA01
25,SUBSTN.JLGSA.GEN.A2GEN,JLA02
26,SUBSTN.JLGSA.GEN.A3GEN,JLA03
27,SUBSTN.JLGSA.GEN.A4GEN,JLA04
28,SUBSTN.JLGSB.GEN.B1GEN,JLB01
29,SUBSTN.JLGSB.GEN.B2GEN,JLB02
30,SUBSTN.JLGSB.GEN.B3GEN,JLB03
31,SUBSTN.DPS.GEN.GEN,DARTM1
32,SUBSTN.EPS.GEN.1GEN,EILDON1
33,SUBSTN.EPS.GEN.2GEN,EILDON2
36,SUBSTN.WKPS.GEN.GEN_1&2,WKIEWA1
37,SUBSTN.WKPS.GEN.GEN_3&4,WKIEWA2
38,SUBSTN.CLPS.GEN.1GEN,
39,SUBSTN.CLPS.GEN.2GEN,
41,SUBSTN.TUMUT1_2.UNIT.AGGREGATE,UPPTUMUT
42,SUBSTN.TUMUT3.UNIT.AGGREGATE,TUMUT3
43,SUBSTN.MURRAY.UNIT.AGGREGATE,MURRAY
44,SUBSTN.GUTHEGA.UNIT.AGGREGATE,GUTHEGA
45,SUBSTN.JINDABYN.UNIT.1,
46,SUBSTN.JINDABYN.UNIT.2,
47,SUBSTN.BAYSWATR.UNIT.1,BW01
48,SUBSTN.BAYSWATR.UNIT.2,BW02
49,SUBSTN.BAYSWATR.UNIT.3,BW03
50,SUBSTN.BAYSWATR.UNIT.4,BW04
51,SUBSTN.ERARING.UNIT.1,ER01
52,SUBSTN.ERARING.UNIT.2,ER02
53,SUBSTN.ERARING.UNIT.3,ER03
54,SUBSTN.ERARING.UNIT.4,ER04
55,SUBSTN.MT_PIPER.UNIT.1,MP1
56,SUBSTN.MT_PIPER.UNIT.2,MP2
57,SUBSTN.VALES_PT.UNIT.5,VP5
58,SUBSTN.VALES_PT.UNIT.6,VP6
59,SUBSTN.LIDDELL.UNIT.1,LD01
60,SUBSTN.LIDDELL.UNIT.2,LD02
61,SUBSTN.LIDDELL.UNIT.3,LD03
62,SUBSTN.LIDDELL.UNIT.4,LD04
69,SUBSTN.BRKNHILL.UNIT.GT1,GB01
70,SUBSTN.BRKNHILL.UNIT.GT2,
76,SUBSTN.HUME.UNIT.HUMENSW,HUMENSW
77,SUBSTN.HUME.UNIT.HUMEVIC,HUMEV
79,SUBSTN.BLOWERG.UNIT.AGGREGATE,BLOWERNG
82,SUBSTN.TIPS_A.GEN.TA_1,TORRA1
83,SUBSTN.TIPS_A.GEN.TA_2,TORRA2
84,SUBSTN.TIPS_A.GEN.TA_3,TORRA3
85,SUBSTN.TIPS_A.GEN.TA_4,TORRA4
86,SUBSTN.TIPS_B.GEN.TB_1,TORRB1
87,SUBSTN.TIPS_B.GEN.TB_2,TORRB2
88,SUBSTN.TIPS_B.GEN.TB_3,TORRB3
89,SUBSTN.TIPS_B.GEN.TB_4,TORRB4
90,SUBSTN.PEL_PS.GEN.PP_1,PPCCGT
92,SUBSTN.DRY_CK.GEN.DC_1,DRYCGT1
93,SUBSTN.DRY_CK.GEN.DC_2,DRYCGT2
94,SUBSTN.DRY_CK.GEN.DC_3,DRYCGT3
95,SUBSTN.MINTAR.GEN.MN_1,MINTARO
96,SUBSTN.SNUGGY.GEN.SN_1_2_3,SNUG1
97,SUBSTN.OCPL.GEN.OC_1_2,OSB-AG
98,SUBSTN.LADB_G.GEN.LG_1,LADBROK1
99,SUBSTN.LADB_G.GEN.LG_2,LADBROK2
100,SUBSTN.PT_L_T.GEN.PL_1_2,POR01
101,SUBSTN.TRNG_PS.GEN.1_TRNG_PS,TARONG#1
102,SUBSTN.TRNG_PS.GEN.2_TRNG_PS,TARONG#2
103,SUBSTN.TRNG_PS.GEN.3_TRNG_PS,TARONG#3
104,SUBSTN.TRNG_PS.GEN.4_TRNG_PS,TARONG#4
105,SUBSTN.TRNG_PS.GEN.GT_TRNG_PS,
106,SUBSTN.STAN_PS.GEN.1_STAN_PS,STAN-1
107,SUBSTN.STAN_PS.GEN.2_STAN_PS,STAN-2
108,SUBSTN.STAN_PS.GEN.3_STAN_PS,STAN-3
109,SUBSTN.STAN_PS.GEN.4_STAN_PS,STAN-4
110,SUBSTN.CAL_A_PS.GEN.1_CAL_A_PS,CALL_A_1
111,SUBSTN.CAL_A_PS.GEN.2_CAL_A_PS,CALL_A_2
112,SUBSTN.CAL_A_PS.GEN.3_CAL_A_PS,CALL_A_3
113,SUBSTN.CAL_A_PS.GEN.4_CAL_A_PS,CALL_A_4
114,SUBSTN.CAL_B_PS.GEN.1_CAL_B_PS,CALL_B_1
115,SUBSTN.CAL_B_PS.GEN.2_CAL_B_PS,CALL_B_2
116,SUBSTN.CAL_C_PS.GEN.3_CAL_C_PS,CPP_3
117,SUBSTN.GLAD_PS.GEN.1_GLAD_PS,GSTONE1
118,SUBSTN.GLAD_PS.GEN.2_GLAD_PS,GSTONE2
119,SUBSTN.GLAD_PS.GEN.3_GLAD_PS,GSTONE3
120,SUBSTN.GLAD_PS.GEN.4_GLAD_PS,GSTONE4
121,SUBSTN.GLAD_PS.GEN.5_GLAD_PS,GSTONE5
122,SUBSTN.GLAD_PS.GEN.6_GLAD_PS,GSTONE6
128,SUBSTN.T36_INVA.GEN.1_T36_INVA,INVICTA
141,SUBSTN.MT_S_PS.GEN.1_MT_S_PS,MSTUART1
142,SUBSTN.MT_S_PS.GEN.2_MT_S_PS,MSTUART2
143,SUBSTN.TVLLE_PS.GEN.GT_TVLLE_PS,YABULU
144,SUBSTN.OAKEY_PS.GEN.1_OAK_PS,OAKEY1
145,SUBSTN.OAKEY_PS.GEN.2_OAK_PS,OAKEY2
146,SUBSTN.ROMA_PS.GEN.7_ROMA_PS,ROMA_7
147,SUBSTN.ROMA_PS.GEN.8_ROMA_PS,ROMA_8
149,SUBSTN.BCDE_PS.GEN.GT_BCDE_PS,BARCALDN
150,SUBSTN.T38_MKAY.GEN.GT_MKAY_T38,MACKAYGT
151,SUBSTN.WIV_PS.GEN.1_WIV_PS,W/HOE#1
152,SUBSTN.WIV_PS.GEN.2_WIV_PS,W/HOE#2
153,SUBSTN.KAR_H_PS.GEN.1_KAR_H_PS,KAREEYA1
154,SUBSTN.KAR_H_PS.GEN.2_KAR_H_PS,KAREEYA2
155,SUBSTN.KAR_H_PS.GEN.3_KAR_H_PS,KAREEYA3
156,SUBSTN.KAR_H_PS.GEN.4_KAR_H_PS,KAREEYA4
157,SUBSTN.KAR_H_PS.GEN.5_KAR_H_PS,KAREEYA5
158,SUBSTN.T54_BG_H.GEN.1_B_G_H_PS,BARRON-1
159,SUBSTN.T54_BG_H.GEN.2_B_G_H_PS,BARRON-2
160,SUBSTN.BDL_PS.GEN.1GEN,BDL01
161,SUBSTN.TUMUT3.LOAD.SUMM_PUMPS,SNOWYP
162,SUBSTN.SITHE.UNIT.SN_1&2&3&4,SITHE01
163,SUBSTN.HUNTERGT.UNIT.GTGEN_SUMM,HVGTS
165,SUBSTN.SHOALHAV.UNIT.BENDEELA_KAN,SHPUMP
166,SUBSTN.SHOALHAV.SUMM.PUMPS,SHGEN
167,SUBSTN.WIV_PS.LOAD.1PUMP,PUMP1
168,SUBSTN.WIV_PS.LOAD.2PUMP,PUMP2
169,SUBSTN.CAL_C_PS.GEN.4_CAL_C_PS,CPP_4
170,SUBSTN.QPS.GEN.QP_1,QPS1
171,SUBSTN.QPS.GEN.QP_2,QPS2
172,SUBSTN.QPS.GEN.QP_3,QPS3
173,SUBSTN.QPS.GEN.QP_4,QPS4
180,SUBSTN.HALLET.GEN.HA_1,AGLHAL
181,SUBSTN.BDL_PS.GEN.2GEN,BDL02
182,SUBSTN.SPS.GEN.GEN_1_2_3_4,AGLSOM
183,SUBSTN.SBK_E_PS.GEN.1_SBK_E_PS,SWAN_E
184,SUBSTN.MILLM_PS.GEN.1_MILLM_PS,MPP_1
185,SUBSTN.MILLM_PS.GEN.2_MILLM_PS,MPP_2
186,SUBSTN.TRNGN_PS.GEN.1_TRNGN_PS,TNPS1
189,SUBSTN.TVLLE_PS.GEN.2_TVLLE_PS,YABULU2
190,SUBSTN.TUNGATIN.UNIT.AGGREGATE,TUNGATIN
191,SUBSTN.TRIBUTE.UNIT.AGGREGATE,TRIBUTE
192,SUBSTN.TREVALYN.UNIT.AGGREGATE,TREVALLN
193,SUBSTN.TARRALEA.UNIT.AGGREGATE,TARRALEA
194,SUBSTN.REECE.UNIT.AGGREGATE_1,REECE1
195,SUBSTN.REECE.UNIT.AGGREGATE_2,REECE2
196,SUBSTN.POATINA.UNIT.AGGREGATE_1,POAT110
197,SUBSTN.POATINA.UNIT.AGGREGATE_2,POAT220
198,SUBSTN.MDWBANK.UNIT.AGGREGATE,MEADOWBK
199,SUBSTN.MAKNTOSH.UNIT.AGGREGATE,MACKNTSH
200,SUBSTN.L_ECHO.UNIT.AGGREGATE,LK_ECHO
201,SUBSTN.LI_WY_CA.UNIT.AGGREGATE,LI_WY_CA
202,SUBSTN.LEM_WIL.UNIT.AGGREGATE,LEM_WIL
203,SUBSTN.JBUTTERS.UNIT.AGGREGATE,JBUTTERS
204,SUBSTN.GORDON.UNIT.AGGREGATE,GORDON
205,SUBSTN.FISHER.UNIT.AGGREGATE,FISHER
206,SUBSTN.DEVILS_G.UNIT.AGGREGATE,DEVILS_G
207,SUBSTN.CETHANA.UNIT.AGGREGATE,CETHANA
208,SUBSTN.BASTYAN.UNIT.AGGREGATE,BASTYAN
212,SUBSTN.BRAE_PS.GEN.1_BRAE_PS,BRAEMAR1
213,SUBSTN.BRAE_PS.GEN.2_BRAE_PS,BRAEMAR2
214,SUBSTN.BRAE_PS.GEN.3_BRAE_PS,BRAEMAR3
215,SUBSTN.TAMAR_PS.UNIT.G101,TVCC201
216,SUBSTN.TAMAR_PS.UNIT.G102,TVCC201
217,SUBSTN.TAMAR_PS.UNIT.G103,
219,SUBSTN.MAYURA.GEN.LAKE_BONY2,LKBONNY2
220,SUBSTN.WATT_P.GEN.WP_1,WPWF
221,SUBSTN.MT_MIL.TF.T_1,MTMILLAR
222,SUBSTN.BUTLERS.UNIT.M/C,BUTLERSG
223,SUBSTN.CLUNY.UNIT.M/C,CLUNY
224,SUBSTN.PALOONA.UNIT.M/C,PALOONA
225,SUBSTN.MAYURA.LINE.MAYLBY_1,LKBONNY1
226,SUBSTN.CATH_R.GEN.CR_1,CATHROCK
227,SUBSTN.TAS1.SUMM.WOOLNORTH,WOOLNTH1
228,SUBSTN.YWF.GEN.YWF,YAMBUKWF
229,SUBSTN.KOGAN_PS.GEN.1_KOGAN_PS,KPP_1
230,SUBSTN.HAL_WF.GEN.HAL1,HALLWF1
231,SUBSTN.SNW_WF.GEN.ST_1,SNOWTWN1
232,SUBSTN.ERARING.UNIT.GT1,ERGT01
233,SUBSTN.QPS.GEN.QP_5,QPS5
234,SUBSTN.TALAWARA.UNIT.1,TALWA1
235,SUBSTN.URANQNTY.UNIT.U11,URANQ11
236,SUBSTN.URANQNTY.UNIT.U12,URANQ12
237,SUBSTN.URANQNTY.UNIT.U13,URANQ13
238,SUBSTN.URANQNTY.UNIT.U14,URANQ14
239,SUBSTN.T200CMPS.GEN.STN_CMPS,CPSA
240,SUBSTN.WBTS.GEN.GEN,WAUBRAWF
241,SUBSTN.H48_B2PS.GEN.1_B2PS,BRAEMAR5
242,SUBSTN.H48_B2PS.GEN.2_B2PS,BRAEMAR6
243,SUBSTN.H48_B2PS.GEN.3_B2PS,BRAEMAR7
244,SUBSTN.COLONGRA.UNIT.1,CG1
245,SUBSTN.COLONGRA.UNIT.2,CG2
246,SUBSTN.COLONGRA.UNIT.3,CG3
247,SUBSTN.COLONGRA.UNIT.4,CG4
248,SUBSTN.TAMAR_PS.UNIT.G104,TVPP104
249,SUBSTN.CULLERIN.UNIT.1,CULLRGWF
250,SUBSTN.CAPITAL.UNIT.C1,CAPTL_WF
251,SUBSTN.CLEM_G.GEN.CG_1,CLEMGPWF
252,SUBSTN.HALHIL.GEN.HLH_1,HALLWF2
253,SUBSTN.TAMAR_PS.UNIT.CC,TVCC201
254,SUBSTN.MKPS.GEN.MCKAY1,MCKAY1
255,SUBSTN.MT_S_PS.GEN.3_MT_S_PS,MSTUART3
256,SUBSTN.H71_DDPS.GEN.STN_DDPS,DDPS1
257,SUBSTN.YARWUN.GEN.1_YARWUN,YARWUN_1
258,SUBSTN.NO_B_H.GEN.NBH_1,NBHWF1
259,SUBSTN.MAYURA.GEN.LAKE_BONY3,LKBONNY3
260,SUBSTN.PT_L_T.GEN.PL_3,POR03
261,SUBSTN.WAT_WF.GEN.WW_1,WATERLWF
262,SUBSTN.GUNNING.TRANS.TCS1,GUNNING1
263,SUBSTN.WOODLAWN.UNIT.1,WOODLWN1
264,SUBSTN.MOPS.GEN.GEN11,MORTLK11
265,SUBSTN.MOPS.GEN.GEN12,MORTLK12
266,SUBSTN.BLUFF_WF.GEN.PPR_1,BLUFF1
267,SUBSTN.OWF.GEN.OWF,OAKLAND1
268,SUBSTN.MWF.GEN.MACARTH,MACARTH1
270,SUBSTN.MLWF.TRANS.TRANS1,MLWF1
271,SUBSTN.MUSSELRO.GEN.WTG_ABCD,MUSSELR1
272,SUBSTN.SNW_NTH.GEN.SNOWNTH1,SNOWNTH1
273,SUBSTN.SNW_STH.GEN.SNOWSTH1,SNOWSTH1
274,SUBSTN.GRWF.GEN.GULLRWF1,GULLRWF1
275,SUBSTN.MEWF.GEN.MERCER01,MERCER01
276,SUBSTN.BOCOROCK.UNIT.BOCORWF1,BOCORWF1
277,SUBSTN.NYNGN_SF.UNIT.NYNGAN1,NYNGAN1
278,SUBSTN.TARALGA.UNIT.TARALGA1,TARALGA1
279,SUBSTN.BHWF.GEN.BALDHWF1,BALDHWF1
281,SUBSTN.BRKNHILL.UNIT.GTGEN_SUMM,
282,SUBSTN.GERM_CRK.GEN.GEN_AGGR,GERMCRK
283,SUBSTN.MORANBAH.GEN.MBH_NTH,MBAHNTH
284,SUBSTN.REPULSE.UNIT.M/C,REPULSE
285,SUBSTN.SSRPT_PS.GEN.1_SSRPT_PS,
286,SUBSTN.CAPE_J.SUMM.STAR_HILL,STARHLWF
287,SUBSTN.LNGS.UNIT.1,LNGS1
288,SUBSTN.LNGS.UNIT.2,LNGS2
289,SUBSTN.VPGS.UNIT.1,VPGS1
290,SUBSTN.VPGS.UNIT.2,VPGS2
291,SUBSTN.VPGS.UNIT.3,VPGS3
292,SUBSTN.VPGS.UNIT.4,VPGS4
293,SUBSTN.VPGS.UNIT.5,VPGS5
294,SUBSTN.VPGS.UNIT.6,VPGS6
295,SUBSTN.BRKNH_SF.UNIT.BROKENH1,BROKENH1
296,SUBSTN.SNUGGY.SUMM.CANUNDA,CNUNDAWF
297,SUBSTN.ROWALLAN.UNIT.M/C,ROWALLAN
298,SUBSTN.JOUNAMA.UNIT.1,JOUNAMA1
299,SUBSTN.MOREE_SF.UNIT.MOREESF1,MOREESF1
300,SUBSTN.PT_STA.GEN.PS_1,PTSTAN1
301,SUBSTN.PT_STA.GEN.LONSDALE,LONSDALE
309,SUBSTN.ROYALLA.GEN.ROYALLA,ROYALLA1
311,SUBSTN.ANGAST.GEN.ANGAS,ANGAST1
312,SUBSTN.HRN_WF.GEN.HDWF1,HDWF1
313,SUBSTN.ARWF.GEN.ARWF1,ARWF1
314,SUBSTN.MUGGA_SF.GEN.MUGGALANESF,MLSP1
315,SUBSTN.BASOL_SF.GEN.BASOL_SF,
316,SUBSTN.HRN_WF.GEN.HDWF2,HDWF2
317,SUBSTN.WRWF.GEN.WRWF1,WRWF1
318,SUBSTN.GRWF.GEN.GULLRSF1,GULLRSF1
319,SUBSTN.HRN_WF.GEN.HDWF3,HDWF3
320,SUBSTN.PARK_SF.GEN.PSF1,PARSF1
321,SUBSTN.GRIFF_SF.GEN.GRIFSF1,GRIFSF1
322,SUBSTN.TG_STH.GEN.SATGS1,SATGS1
323,SUBSTN.TG_NTH.GEN.SATGN1,SATGN1
324,SUBSTN.KWF.GEN.KIATAWF,KIATAWF1
327,SUBSTN.SAPWF.GEN.SAPWF01,SAPHWF1
328,SUBSTN.T239_KSF.GEN.KSP1,KSP1
329,SUBSTN.YSW.GEN.YSWF1,YSWF1
330,SUBSTN.HRN_WF.GEN.HPRG1,HPRG1
331,SUBSTN.HRN_WF.LOAD.HPRL1,HPRL1
332,SUBSTN.CLPS.SUMM.HYDRO,CLOVER
333,SUBSTN.MANLD_SF.GEN.MANSLR1,MANSLR1
334,SUBSTN.HUGHN_SF.GEN.HUGSF1,HUGSF1
335,SUBSTN.GSF.GEN.GANNSF1,GANNSF1
336,SUBSTN.SILVERWF.GEN.STWF1,STWF1
337,SUBSTN.T240_CSF.GEN.CLARESF,CLARESF1
338,SUBSTN.SCWF.GEN.SALTCRK1,SALTCRK1
339,SUBSTN.LRSF.GEN.LRSF1,LRSF1
340,SUBSTN.DALR_N.GEN.DALNTH01,DALNTH01
341,SUBSTN.DALR_N.LOAD.DALNTHL1,DALNTHL1
342,SUBSTN.WILLOG.GEN.WGWF1,WGWF1
343,SUBSTN.BUNGAL.GEN.BNGSF1,BNGSF1
344,SUBSTN.Z3_HAMSF.GEN.HAMISF1,HAMISF1
345,SUBSTN.Z2_WHSF.GEN.WHITSF1,WHITSF1
346,SUBSTN.MGW.GEN.MTGELWF1,MTGELWF1
347,SUBSTN.CROOKWF.GEN.CROOKWF2,CROOKWF2
348,SUBSTN.BODANGWF.GEN.BODWF1,BODWF1
349,SUBSTN.WRWF.GEN.WRSF1,WRSF1
350,SUBSTN.BSP.GEN.BANN1,BANN1
351,SUBSTN.Z7_RRSF.GEN.RRSF1,RRSF1
352,SUBSTN.H86_DDSF.GEN.DDSF1,DDSF1
353,SUBSTN.TVLZ_SF.GEN.SMCSF1,SMCSF1
354,SUBSTN.COLMB_SF.GEN.COLEASF1,COLEASF1
355,SUBSTN.BUNGAL.GEN.BNGSF2,BNGSF2
356,SUBSTN.H84_MTEW.GEN.MEWF1,MEWF1
357,SUBSTN.COLL_SF.GEN.CSPVPS1,CSPVPS1
358,SUBSTN.EMRLD_SF.GEN.EMERASF1,EMERASF1
359,SUBSTN.WSF.GEN.WEMENSF1,WEMENSF1
360,SUBSTN.KSF.GEN.KARSF1,KARSF1
361,SUBSTN.Z5_HAYSF.GEN.HAYMSF1,HAYMSF1
362,SUBSTN.Z6_DAYSF.GEN.DAYDSF1,DAYDSF1
363,SUBSTN.BESS.GEN.BALBG1,BALBG1
364,SUBSTN.BESS.LOAD.BALBL1,BALBL1
365,SUBSTN.GESS.GEN.GANNBG1,GANNBG1
366,SUBSTN.GESS.LOAD.GANNBL1,GANNBL1
367,SUBSTN.LIN_GP.GEN.LGAPWF1,LGAPWF1
368,SUBSTN.BGR.SUMM.CHALLICUM,CHALLHWF
369,SUBSTN.CWWF.GEN.CROWLWF1,CROWLWF1
370,SUBSTN.CLRMT_SF.GEN.CLERMSF1,CLERMSF1
371,SUBSTN.T255_RRS.GEN.RGBYRSF1,RUGBYR1
372,SUBSTN.Z8_LV1SF.GEN.LILYSF1,LILYSF1
373,SUBSTN.OAKY1_SF.GEN.OAKEY1SF,OAKEY1SF
374,SUBSTN.Z4_CGWF.GEN.COOPGWF1,COOPGWF1
375,SUBSTN.SSNRV_SF.GEN.SRSF1,SRSF1
376,SUBSTN.CHLDR_SF.GEN.CHILDSF1,CHILDSF1
377,SUBSTN.COOR_S.GEN.TBSF1,TBSF1
378,SUBSTN.BGWF.GEN.BULGANA1,
379,SUBSTN.MWWF.GEN.MUWAWF1,MUWAWF1
380,SUBSTN.NSF.GEN.NUMURSF1,NUMURSF1
381,SUBSTN.BERYL_SF.GEN.BERYLSF1,BERYLSF1
382,SUBSTN.YDW.GEN.YENDWF1,YENDWF1
383,SUBSTN.OAKY2_SF.GEN.OAKEY2SF,OAKEY2SF
384,SUBSTN.H96HN2SF.GEN.HAUGHT1,HAUGHT11
385,SUBSTN.LBBESS.GEN.LBBG1,LBBG1
386,SUBSTN.LBBESS.LOAD.LBBL1,LBBL1
387,SUBSTN.MOORAWF.GEN.MOORAWF1,
388,SUBSTN.LIMN2_SF.GEN.LIMOSF21,LIMOSF21
389,SUBSTN.FINLY_SF.GEN.FINLYSF1,FINLYSF1
390,SUBSTN.YARRN_SF.GEN.YARANSF1,YARANSF1
391,SUBSTN.KEPG_SF.GEN.KEPSF1,
392,SUBSTN.KEPG_WF.GEN.KEPWF1,
393,SUBSTN.YSF.GEN.YATSF1,YATSF1
394,SUBSTN.CATHILL.GEN.CTHLWF1,CTHLWF1
395,SUBSTN.BARK_I.GEN.BARKIPS1,BARKIPS1
396,SUBSTN.NEVRT_SF.GEN.NEVERSF1,NEVERSF1
397,SUBSTN.SUNRY_SF.GEN.SUNRSF1,SUNRSF1
398,SUBSTN.MARYR_SF.GEN.MARYRSF1,MARYRSF1
399,SUBSTN.GRANWF.GEN.GRANWF1,GRANWF1
400,SUBSTN.SHWF.GEN.STOCKYD1,
401,SUBSTN.LIMN1_SF.GEN.LIMOSF11,LIMOSF1
402,SUBSTN.DARLP_SF.GEN.DARLSF1,DARLSF1
403,SUBSTN.KIAMALSF.GEN.KIAMSF1,KIAMSF1
404,SUBSTN.ELWF.GEN.ELAINWF1,ELAINWF1
405,SUBSTN.CTWF.GEN.CHYTWF1,CHYTWF1
406,SUBSTN.CSF.GEN.COHUNSF1,COHUNA
407,SUBSTN.DDWF.GEN.DUNDWF1,DUNDWF1
408,SUBSTN.DDWF.GEN.DUNDWF2,DUNDWF2
409,SUBSTN.DDWF.GEN.DUNDWF3,DUNDWF3
410,SUBSTN.BOMEN_SF.GEN.BOMENSF1,BOMENSF1
411,SUBSTN.WRCK1_SF.GEN.WARWSF1,WARWSF1
412,SUBSTN.WRCK2_SF.GEN.WARWSF2,WARWSF2
413,SUBSTN.MMNT_SF.GEN.MIDDLSF1,MIDDLSF1
414,SUBSTN.GOON_SF.GEN.GOONSF1,GOONSF1
415,SUBSTN.GRWF2.GEN.GULLRWF2,GULLRWF2
416,SUBSTN.BRYBNKWF.GEN.BRYB1WF1,BRYB1WF1
417,SUBSTN.WELLNGTN.GEN.WELLSF1,WELLSF1
418,SUBSTN.MOLNG_SF.GEN.MOLNGSF1,MOLNGSF1
419,SUBSTN.COLLECWF.GEN.COLWF01,COLWF01
420,SUBSTN.BANGOWF.GEN.BANGOWF1,BANGOWF1
421,SUBSTN.BANGOWF.GEN.BANGOWF2,
422,SUBSTN.GWSF.GEN.GLRWNSF1,GLRWNSF1
423,SUBSTN.WISF.GEN.WINTSF1,WINTSF1
424,SUBSTN.MW_3.GEN.MWPS3PV1,MWPS3PV1
425,SUBSTN.MW_4.GEN.MWPS4PV1,MWPS4PV1
426,SUBSTN.CRUDNEWF.GEN.CRURWF1,CRURWF1
427,SUBSTN.JEMAL_SF.GEN.JEMALNG1,JEMALNG1
428,SUBSTN.MW_1.GEN.MWPS1PV1,MWPS1PV1
429,SUBSTN.MW_2.GEN.MWPS2PV1,MWPS2PV1
430,SUBSTN.MA_2.GEN.MAPS2PV1,
431,SUBSTN.MA_3.GEN.MAPS3PV1,
432,SUBSTN.CORWA_SF.GEN.CRWASF1,CRWASF1
433,SUBSTN.TAB_MILL.TRANS.TG1H66,
434,SUBSTN.T273_GGS.GEN.GANGARR1,
435,SUBSTN.H104_WDS.GEN.WDGPH1,
436,SUBSTN.ADP.GEN.ADPPV1,
437,SUBSTN.ADP.GEN.ADPBA1G,
438,SUBSTN.ADP.LOAD.ADPBA1L,
439,SUBSTN.WAGGN_SF.GEN.WAGGNSF1,
440,SUBSTN.JUNEE_SF.GEN.JUNEESF1,JUNEESF1
441,SUBSTN.GUNDH_SF.GEN.GNNDHSF1,GNNDHSF1
442,SUBSTN.MBH_2.GEN.MBPS2PV1,MBPS2
443,SUBSTN.VBB.GEN.VBBG1,
444,SUBSTN.VBB.LOAD.VBBL1,
445,SUBSTN.BGWF.GEN.BGWFG1,
446,SUBSTN.BGWF.LOAD.BGWFL1,
447,SUBSTN.T271_WSB.GEN.WANDBG1,
448,SUBSTN.T271_WSB.LOAD.WANDBL1,
449,SUBSTN.T272_CLB.GEN.COLUMSF1,
450,SUBSTN.SUNTP_SF.GEN.SUNTPSF1,
